date,skin,condition
2022-10-04,Nova | Bloomstick,Factory New
2022-12-14,AK-47 | Hydroponic,Well-Worn
2022-12-15,USP-S | Business Class,Well-Worn
2022-12-16,G3SG1 | The Executioner,Minimal Wear
2022-12-17,AUG | Bengal Tiger,Factory New
2022-12-18,AK-47 | Emerald Pinstripe,Factory New
2022-12-19,USP-S | Target Acquired,Well-Worn
2022-12-20,UMP-45 | Minotaur's Labyrinth,Minimal Wear
2022-12-21,SSG 08 | Big Iron,Factory New
2022-12-22,FAMAS | Spitfire,Minimal Wear
2022-12-23,P250 | Undertow,Factory New
2022-12-24,PP-Bizon | Modern Hunter,Factory New
2022-12-25,Nova | Hyper Beast,Factory New
2022-12-26,AK-47 | Vulcan,Minimal Wear
2022-12-27,SG 553 | Hazard Pay,Field-Tested
2022-12-28,M4A4 | Howl,Field-Tested
2022-12-29,AK-47 | Fuel Injector,Minimal Wear
2022-12-30,MAG-7 | Counter Terrace,Factory New
2022-12-31,CZ75-Auto | Emerald,Factory New
2023-01-01,Desert Eagle | Fennec Fox,Field-Tested
2023-01-02,AK-47 | Redline,Well-Worn
2023-01-03,USP-S | Orion,Minimal Wear
2023-01-04,Tec-9 | Nuclear Threat,Factory New
2023-01-05,SSG 08 | Tropical Storm,Factory New
2023-01-06,Tec-9 | Ossified,Minimal Wear
2023-01-07,Dual Berettas | Duelist,Field-Tested
2023-01-08,AK-47 | Point Disarray,Factory New
2023-01-09,P90 | Asiimov,Factory New
2023-01-10,AWP | Atheris,Factory New
2023-01-11,AWP | Desert Hydra,Minimal Wear
2023-01-12,M4A4 | Bullet Rain,Battle-Scarred
2023-01-13,MAG-7 | Cinquedea,Field-Tested
2023-01-14,M4A1-S | Golden Coil,Battle-Scarred
2023-01-15,CZ75-Auto | Emerald Quartz,Minimal Wear
2023-01-16,AWP | Chromatic Aberration,Field-Tested
2023-01-17,Five-SeveN | Fairy Tale,Factory New
2023-01-18,Desert Eagle | Crimson Web,Minimal Wear
2023-01-19,MP9 | Setting Sun,Battle-Scarred
2023-01-20,Glock-18 | Franklin,Factory New
2023-01-21,AK-47 | Cartel,Factory New
2023-01-22,M4A4 | Royal Paladin,Minimal Wear
2023-01-23,M4A1-S | Hyper Beast,Field-Tested
2023-01-24,Desert Eagle | Pilot,Minimal Wear
2023-01-25,AK-47 | First Class,Field-Tested
2023-01-26,SG 553 | Integrale,Minimal Wear
2023-01-27,AWP | Silk Tiger,Minimal Wear
2023-01-28,Glock-18 | Pink DDPAT,Field-Tested
2023-01-29,AK-47 | Legion of Anubis,Factory New
2023-01-30,Glock-18 | Sand Dune,Factory New
2023-01-31,M4A1-S | Printstream,Well-Worn
2023-02-01,USP-S | Neo-Noir,Factory New
2023-02-02,M4A1-S | Briefing,Factory New
2023-02-03,AK-47 | Jungle Spray,Factory New
2023-02-04,SCAR-20 | Cardiac,Factory New
2023-02-05,MAC-10 | Commuter,Factory New
2023-02-06,Galil AR | Urban Rubble,Battle-Scarred
2023-02-07,AWP | Elite Build,Minimal Wear
2023-02-08,M4A1-S | Bright Water,Field-Tested
2023-02-09,AK-47 | Wild Lotus,Well-Worn
2023-02-10,M4A1-S | Hot Rod,Factory New
2023-02-11,Glock-18 | Snack Attack,Factory New
2023-02-12,AWP | Corticera,Minimal Wear
2023-02-13,P90 | Desert Warfare,Battle-Scarred
2023-02-14,FAMAS | Sundown,Field-Tested
2023-02-15,XM1014 | Jungle,Factory New
2023-02-16,SG 553 | Tornado,Factory New
2023-02-17,XM1014 | Ancient Lore,Minimal Wear
2023-02-18,Galil AR | Aqua Terrace,Battle-Scarred
2023-02-19,MP9 | Hot Rod,Minimal Wear
2023-02-20,P250 | Facets,Factory New
2023-02-21,Galil AR | Orange DDPAT,Minimal Wear
2023-02-22,P250 | Splash,Minimal Wear
2023-02-23,AWP | Asiimov,Battle-Scarred
2023-02-24,AK-47 | Bloodsport,Well-Worn
2023-02-25,SCAR-20 | Cyrex,Well-Worn
2023-02-26,M4A4 | The Emperor,Factory New
2023-02-27,MP5-SD | Oxide Oasis,Factory New
2023-02-28,M4A4 | 龍王 (Dragon King),Factory New
2023-03-01,Glock-18 | Night,Factory New
2023-03-02,MAG-7 | Chainmail,Minimal Wear
2023-03-03,M4A1-S | Knight,Minimal Wear
2023-03-04,FAMAS | Commemoration,Minimal Wear
2023-03-05,Tec-9 | Terrace,Battle-Scarred
2023-03-06,G3SG1 | Chronos,Well-Worn
2023-03-07,AWP | Pink DDPAT,Minimal Wear
2023-03-08,P250 | Gunsmoke,Factory New
2023-03-09,Nova | Walnut,Factory New
2023-03-10,AK-47 | Nightwish,Field-Tested
2023-03-11,MAC-10 | Tornado,Factory New
2023-03-12,PP-Bizon | Forest Leaves,Factory New
2023-03-13,CZ75-Auto | Crimson Web,Factory New
2023-03-14,MAC-10 | Graven,Factory New
2023-03-15,MAG-7 | Bulldozer,Factory New
2023-03-16,Desert Eagle | Emerald Jörmungandr,Minimal Wear
2023-03-17,USP-S | Ancient Visions,Factory New
2023-03-18,Nova | Baroque Orange,Minimal Wear
2023-03-19,CZ75-Auto | Chalice,Minimal Wear
2023-03-20,FAMAS | Prime Conspiracy,Field-Tested
2023-03-21,Five-SeveN | Neon Kimono,Battle-Scarred
2023-03-22,P250 | Nuclear Threat,Minimal Wear
2023-03-23,Tec-9 | Tornado,Factory New
2023-03-24,XM1014 | Blaze Orange,Minimal Wear
2023-03-25,AK-47 | Fire Serpent,Factory New
2023-03-26,M4A1-S | Mecha Industries,Minimal Wear
2023-03-27,MAC-10 | Disco Tech,Factory New
2023-03-28,M4A4 | Hellfire,Battle-Scarred
2023-03-29,SSG 08 | Bloodshot,Minimal Wear
2023-03-30,SSG 08 | Lichen Dashed,Factory New
2023-03-31,MP9 | Hydra,Factory New
2023-04-01,Dual Berettas | Black Limba,Factory New
2023-04-02,Five-SeveN | Case Hardened,Factory New
2023-04-03,M249 | Blizzard Marbleized,Minimal Wear
2023-04-04,AWP | Neo-Noir,Factory New
2023-04-05,AK-47 | Black Laminate,Battle-Scarred
2023-04-06,Galil AR | Winter Forest,Battle-Scarred
2023-04-07,UMP-45 | Day Lily,Field-Tested
2023-04-08,M4A1-S | Control Panel,Minimal Wear
2023-04-09,MP7 | Full Stop,Battle-Scarred
2023-04-10,USP-S | Road Rash,Field-Tested
2023-04-11,Desert Eagle | Sunset Storm 弐,Factory New
2023-04-12,PP-Bizon | Irradiated Alert,Factory New
2023-04-13,G3SG1 | Demeter,Factory New
2023-04-14,Galil AR | Sugar Rush,Factory New
2023-04-15,USP-S | Stainless,Factory New
2023-04-16,XM1014 | Fallout Warning,Well-Worn
2023-04-17,AK-47 | Wasteland Rebel,Factory New
2023-04-18,MAC-10 | Red Filigree,Factory New
2023-04-19,AK-47 | Panthera onca,Minimal Wear
2023-04-20,M4A4 | Desolate Space,Factory New
2023-04-21,Galil AR | Phoenix Blacklight,Factory New
2023-04-22,AK-47 | Jaguar,Field-Tested
2023-04-23,SCAR-20 | Splash Jam,Factory New
2023-04-24,M4A4 | Daybreak,Factory New
2023-04-25,MP7 | Teal Blossom,Field-Tested
2023-04-26,SCAR-20 | Brass,Battle-Scarred
2023-04-27,P90 | Cold Blooded,Minimal Wear
2023-04-28,Galil AR | Amber Fade,Well-Worn
2023-04-29,Five-SeveN | Candy Apple,Minimal Wear
2023-04-30,XM1014 | Grassland,Factory New
2023-05-01,M4A4 | Desert Storm,Minimal Wear
2023-05-02,Desert Eagle | Kumicho Dragon,Well-Worn
2023-05-03,UMP-45 | Blaze,Minimal Wear
2023-05-04,P2000 | Fire Elemental,Factory New
2023-05-05,Nova | Forest Leaves,Factory New
2023-05-06,SSG 08 | Death Strike,Well-Worn
2023-05-07,M4A4 | Asiimov,Battle-Scarred
2023-05-08,M4A1-S | Decimator,Field-Tested
2023-05-09,USP-S | Caiman,Field-Tested
2023-05-10,M4A1-S | Moss Quartz,Well-Worn
2023-05-11,Five-SeveN | Fall Hazard,Well-Worn
2023-05-12,M4A4 | Jungle Tiger,Factory New
2023-05-13,USP-S | Blueprint,Factory New
2023-05-14,UMP-45 | Crime Scene,Well-Worn
2023-05-15,AWP | Redline,Minimal Wear
2023-05-16,MAC-10 | Curse,Battle-Scarred
2023-05-17,Glock-18 | Fade,Factory New
2023-05-18,AWP | Wildfire,Battle-Scarred
2023-05-19,Sawed-Off | First Class,Minimal Wear
2023-05-20,Five-SeveN | Nitro,Minimal Wear
2023-05-21,AWP | Man-o'-war,Minimal Wear
2023-05-22,Desert Eagle | Sunset Storm 壱,Factory New
2023-05-23,Glock-18 | Bullet Queen,Minimal Wear
2023-05-24,Dual Berettas | Pyre,Factory New
2023-05-25,AUG | Copperhead,Minimal Wear
2023-05-26,Glock-18 | Brass,Minimal Wear
2023-05-27,USP-S | Dark Water,Field-Tested
2023-05-28,Glock-18 | Gamma Doppler,Battle-Scarred
2023-05-29,UMP-45 | Fallout Warning,Factory New
2023-05-30,Nova | Green Apple,Field-Tested
2023-05-31,G3SG1 | Arctic Camo,Factory New
2023-06-01,AUG | Hot Rod,Factory New
2023-06-02,P90 | Fallout Warning,Factory New
2023-06-03,MP9 | Dark Age,Minimal Wear
2023-06-04,Dual Berettas | Twin Turbo,Factory New
2023-06-05,USP-S | Monster Mashup,Factory New
2023-06-06,P2000 | Silver,Minimal Wear
2023-06-07,M249 | Jungle DDPAT,Factory New
2023-06-08,Sawed-Off | Orange DDPAT,Battle-Scarred
2023-06-09,Desert Eagle | Printstream,Battle-Scarred
2023-06-10,SSG 08 | Blood in the Water,Factory New
2023-06-11,AK-47 | Predator,Well-Worn
2023-06-12,Dual Berettas | Marina,Factory New
2023-06-13,Desert Eagle | Hand Cannon,Battle-Scarred
2023-06-14,USP-S | Royal Blue,Factory New
2023-06-15,AWP | Snake Camo,Well-Worn
2023-06-16,P90 | Baroque Red,Well-Worn
2023-06-17,MAC-10 | Copper Borre,Battle-Scarred
2023-06-18,MAC-10 | Ultraviolet,Factory New
2023-06-19,AK-47 | Aquamarine Revenge,Well-Worn
2023-06-20,Glock-18 | Groundwater,Factory New
2023-06-21,P250 | Cartel,Battle-Scarred
2023-06-22,Tec-9 | Brass,Factory New
2023-06-23,Desert Eagle | Code Red,Battle-Scarred
2023-06-24,AWP | BOOM,Minimal Wear
2023-06-25,Tec-9 | Decimator,Minimal Wear
2023-06-26,AWP | Hyper Beast,Well-Worn
2023-06-27,MAC-10 | Gold Brick,Well-Worn
2023-06-28,SG 553 | Hypnotic,Factory New
2023-06-29,AK-47 | Leet Museo,Factory New
2023-06-30,AWP | Gungnir,Minimal Wear
2023-07-01,Sawed-Off | Mosaico,Factory New
2023-07-02,P90 | Emerald Dragon,Battle-Scarred
2023-07-03,CZ75-Auto | The Fuschia Is Now,Well-Worn
2023-07-04,XM1014 | Elegant Vines,Field-Tested
2023-07-05,Tec-9 | Hades,Well-Worn
2023-07-06,Desert Eagle | Cobalt Disruption,Factory New
2023-07-07,Dual Berettas | Emerald,Minimal Wear
2023-07-08,AUG | Momentum,Factory New
2023-07-09,FAMAS | Roll Cage,Factory New
2023-07-10,FAMAS | Contrast Spray,Minimal Wear
2023-07-11,USP-S | Kill Confirmed,Battle-Scarred
2023-07-12,MP7 | Whiteout,Minimal Wear
2023-07-13,P250 | Crimson Kimono,Well-Worn
2023-07-14,M4A4 | Radiation Hazard,Well-Worn
2023-07-15,P2000 | Grassland Leaves,Factory New
2023-07-16,AK-47 | Neon Rider,Battle-Scarred
2023-07-17,UMP-45 | Fade,Minimal Wear
2023-07-18,M4A1-S | Welcome to the Jungle,Battle-Scarred
2023-07-19,M4A4 | Zirka,Factory New
2023-07-20,P2000 | Chainmail,Field-Tested
2023-07-21,AWP | Dragon Lore,Factory New
2023-07-22,AK-47 | Asiimov,Battle-Scarred
2023-07-23,USP-S | The Traitor,Minimal Wear
2023-07-24,AWP | Sun in Leo,Field-Tested
2023-07-25,P2000 | Ocean Foam,Minimal Wear
2023-07-26,XM1014 | Tranquility,Factory New
2023-07-27,Desert Eagle | Midnight Storm,Factory New
2023-07-28,Negev | Mjölnir,Battle-Scarred
2023-07-29,P90 | Astral Jörmungandr,Minimal Wear
2023-07-30,SSG 08 | Sea Calico,Factory New
2023-07-31,M249 | Shipping Forecast,Factory New
2023-08-01,USP-S | Serum,Minimal Wear
2023-08-02,AK-47 | Case Hardened,Battle-Scarred
2023-08-03,AWP | Fade,Minimal Wear
2023-08-04,Negev | Anodized Navy,Factory New
2023-08-05,USP-S | Overgrowth,Well-Worn
2023-08-06,Nova | Blaze Orange,Minimal Wear
2023-08-07,P2000 | Pathfinder,Minimal Wear
2023-08-08,XM1014 | Red Leather,Well-Worn
2023-08-09,MP9 | Green Plaid,Battle-Scarred
2023-08-10,AWP | Graphite,Minimal Wear
2023-08-11,USP-S | Orange Anolis,Minimal Wear
2023-08-12,M4A1-S | Guardian,Well-Worn
2023-08-13,UMP-45 | Caramel,Factory New
2023-08-14,G3SG1 | Violet Murano,Minimal Wear
2023-08-15,USP-S | Pathfinder,Factory New
2023-08-16,Glock-18 | Synth Leaf,Factory New
2023-08-17,Desert Eagle | Golden Koi,Minimal Wear
2023-08-18,Glock-18 | Neo-Noir,Minimal Wear
2023-08-19,USP-S | Whiteout,Minimal Wear
2023-08-20,Galil AR | Shattered,Factory New
2023-08-21,AK-47 | Orbit Mk01,Factory New
2023-08-22,M4A1-S | Icarus Fell,Factory New
2023-08-23,Galil AR | Eco,Minimal Wear
2023-08-24,P90 | Run and Hide,Factory New
2023-08-25,M4A4 | Cyber Security,Minimal Wear
2023-08-26,MP7 | Asterion,Battle-Scarred
2023-08-27,G3SG1 | Flux,Minimal Wear
2023-08-28,AWP | Containment Breach,Minimal Wear
2023-08-29,SG 553 | Bulldozer,Field-Tested
2023-08-30,SG 553 | Wave Spray,Factory New
2023-08-31,MP9 | Bulldozer,Battle-Scarred
2023-09-01,MP9 | Wild Lily,Well-Worn
2023-09-02,AK-47 | Red Laminate,Field-Tested
2023-09-03,SSG 08 | Sand Dune,Factory New
2023-09-04,Desert Eagle | Urban DDPAT,Factory New
2023-09-05,Galil AR | Chatterbox,Field-Tested
2023-09-06,M4A4 | In Living Color,Factory New
2023-09-07,MP9 | Stained Glass,Minimal Wear
2023-09-08,AUG | Sand Storm,Field-Tested
2023-09-09,PP-Bizon | Rust Coat,Battle-Scarred
2023-09-10,Five-SeveN | Jungle,Factory New
2023-09-11,MAC-10 | Hot Snakes,Minimal Wear
2023-09-12,AWP | Lightning Strike,Factory New
2023-09-13,SSG 08 | Detour,Well-Worn
2023-09-14,P250 | Digital Architect,Field-Tested
2023-09-15,M4A1-S | Atomic Alloy,Factory New
2023-09-16,AWP | Medusa,Field-Tested
2023-09-17,MAG-7 | Silver,Minimal Wear
2023-09-18,AK-47 | Ice Coaled,Well-Worn
2023-09-19,MAC-10 | Stalker,Minimal Wear
2023-09-20,M4A4 | The Coalition,Minimal Wear
2023-09-21,P250 | Whiteout,Factory New
2023-09-22,Galil AR | Cerberus,Minimal Wear
2023-09-23,USP-S | Printstream,Minimal Wear
2023-09-24,MAG-7 | Prism Terrace,Minimal Wear
